number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,07:54:54,[],[]
2,9,08:05:40,08:07:40,['5'],[]
3,12,08:13:30,08:16:13,['25'],[]
4,14,08:22:56,08:24:56,['7'],[]
5,0,08:32:52,08:34:52,[],"['5', '25', '7']"
6,13,08:46:01,09:32:00,['15'],[]
7,0,09:43:09,10:05:34,['17'],['15']
8,13,10:16:43,11:25:39,['9'],['17']
9,0,11:36:48,11:41:17,['32'],['9']
10,13,11:52:26,11:54:26,[],['32']
11,9,12:06:26,12:16:12,['30'],[]
12,11,12:20:00,12:22:00,['8'],[]
13,13,12:33:41,12:59:03,"['18', '12']","['30', '8']"
14,14,13:02:45,13:04:45,[],['12']
15,0,13:12:41,13:35:12,['6'],['18']
16,12,13:49:03,13:51:03,[],['6']
17,9,13:56:53,13:58:53,['24'],[]
18,4,14:10:42,14:12:42,[],['24']
19,8,14:25:37,19:00:00,[],[]
