number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:57:53,[],[]
2,4,08:10:00,08:12:00,['37'],[]
3,16,08:15:44,08:17:44,[],['37']
4,15,08:20:30,08:22:30,['47'],[]
5,4,08:28:53,08:30:53,[],['47']
6,17,08:35:47,08:55:23,['49'],[]
7,4,09:00:17,09:02:17,['38'],['49']
8,16,09:06:01,09:08:01,[],['38']
9,15,09:10:47,09:27:42,['41'],[]
10,16,09:30:28,09:32:28,[],['41']
11,18,09:45:00,09:47:00,['8'],[]
12,19,09:49:05,09:51:05,[],['8']
13,18,09:53:10,10:32:00,['16'],[]
14,4,10:41:00,10:43:00,[],['16']
15,16,10:46:44,11:22:00,"['21', '36']",[]
16,4,11:25:44,11:41:23,['10'],"['21', '36']"
17,14,11:49:17,11:58:18,[],['10']
18,15,12:01:46,12:03:46,['2'],[]
19,4,12:10:09,12:27:49,"['30', '26']",[]
20,18,12:36:49,12:38:49,[],"['30', '26']"
21,20,12:43:51,13:22:00,['19'],['2']
22,18,13:27:02,13:47:00,['33'],[]
23,4,13:56:00,14:14:54,"['15', '45']","['33', '19']"
24,17,14:19:48,14:21:48,[],['15']
25,18,14:26:01,14:44:21,[],['45']
26,0,15:02:47,19:00:00,[],[]
