number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,10:06:52,['36'],[]
2,20,10:10:34,10:12:34,[],['36']
3,21,10:16:16,10:22:52,['37'],[]
4,19,10:29:20,10:31:20,[],['37']
5,17,10:37:48,11:23:29,['35'],[]
6,16,11:29:01,11:31:01,['49'],[]
7,0,11:37:29,11:39:29,['45'],"['49', '35']"
8,18,11:51:03,11:53:03,['39'],['45']
9,0,12:04:37,12:06:37,['43'],['39']
10,16,12:13:05,12:15:05,[],['43']
11,0,12:21:33,12:37:00,['32'],[]
12,19,12:51:04,13:06:00,['1'],['32']
13,21,13:12:28,13:17:05,['3'],['1']
14,17,13:30:00,13:32:00,['4'],[]
15,0,13:40:31,14:15:32,['6'],"['3', '4']"
16,15,14:18:18,14:20:18,[],['6']
17,21,14:37:49,19:00:00,[],[]
