number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:23:37,[],[]
2,0,08:23:37,08:25:37,['19'],[]
3,22,08:41:25,08:51:53,[],['19']
4,0,09:07:41,09:55:39,"['1', '9']",[]
5,21,10:07:04,10:18:31,[],['1']
6,24,10:35:07,11:06:36,"['26', '40', '2']",['9']
7,23,11:13:59,11:16:00,['21'],['26']
8,21,11:25:13,11:27:13,[],['40']
9,0,11:38:38,13:20:00,"['8', '41']","['21', '2']"
10,21,13:31:25,13:40:00,['35'],[]
11,22,13:44:42,13:46:42,[],['8']
12,23,13:51:24,13:53:24,[],['35']
13,24,14:00:47,14:31:00,"['42', '15']",['41']
14,23,14:38:23,14:40:23,[],['42']
15,21,14:49:36,14:51:37,[],['15']
16,28,15:03:02,19:00:00,[],[]
