user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[164, 9]","[12, 13, 9]",10.4,11.88,15.87,2
1,"[9, 8]","[7, 3, 5]",17.1,13.05,17.05,2
2,"[164, 19, 8]","[24, 13, 3, 5]",28.1,29.17,35.15,3
3,[4],"[15, 20]",2.0,20.08,22.08,1
4,"[19, 8]","[11, 3, 5]",6.0,20.25,21.0,2
5,[164],"[12, 24]",2.0,4.03,6.03,1
6,[8],"[4, 5]",2.0,5.72,7.72,1
7,"[19, 64]","[3, 13, 24]",13.3,28.58,27.23,2
8,[92],"[23, 0]",2.0,15.37,17.37,1
9,"[19, 18, 14]","[8, 3, 4, 18]",8.1,16.62,22.62,3
10,[64],"[13, 25]",7.2,10.72,8.57,1
11,"[18, 192]","[5, 0, 23]",25.0,32.17,34.18,2
12,"[19, 64]","[3, 13, 27]",25.0,21.05,25.05,2
13,"[92, 64]","[23, 24, 25]",10.4,9.7,13.68,2
14,"[8, 19]","[6, 3, 11]",18.0,21.13,20.8,2
15,[4],"[17, 14]",2.0,12.38,14.38,1
16,"[4, 18, 9]","[19, 4, 3, 8]",11.8,16.85,22.85,3
17,"[4, 8]","[19, 4, 6]",19.8,15.63,19.15,2
18,"[64, 19]","[27, 13, 10]",6.0,11.83,15.83,2
19,[8],"[1, 2]",2.0,3.47,5.47,1
20,-,-,-,-,13.0,2
21,"[64, 19, 8, 14]","[26, 13, 3, 4, 17]",26.4,31.53,39.42,4
22,"[14, 18, 9]","[18, 4, 3, 8]",27.0,16.62,22.62,3
23,[64],"[13, 26]",14.6,7.82,8.38,1
24,"[4, 92]","[20, 0, 22]",28.0,33.85,37.85,2
25,"[19, 64]","[10, 13, 26]",7.2,15.27,17.83,2
26,"[64, 92]","[12, 24, 0]",21.5,29.37,28.9,2
27,[4],"[16, 17]",5.5,8.62,10.57,1
28,"[92, 18, 4]","[21, 0, 4, 17]",17.4,26.23,28.23,2
29,"[64, 19]","[27, 13, 3]",8.0,21.63,25.05,2
30,"[64, 19, 8]","[25, 13, 3, 0]",16.0,34.98,29.02,2
31,"[4, 8]","[16, 4, 5]",4.0,9.43,13.45,2
32,[19],"[7, 10]",17.3,16.92,18.05,1
33,"[192, 9]","[23, 0, 7]",4.0,18.83,22.83,2
34,"[14, 18]","[18, 4, 0]",11.9,23.05,20.43,1
35,"[18, 9]","[1, 0, 7]",21.0,9.7,13.7,2
36,"[9, 92]","[9, 0, 21]",4.0,24.05,28.05,2
37,"[14, 8, 19]","[17, 4, 3, 10]",23.3,18.15,24.15,3
38,"[4, 92, 64]","[19, 0, 24, 25]",21.2,46.37,43.93,4
39,"[8, 19]","[6, 3, 13]",8.0,26.62,26.38,2
40,"[92, 18, 4]","[22, 0, 4, 19]",21.4,34.75,33.2,2
41,"[19, 64]","[8, 13, 12]",7.3,15.93,19.3,2
42,"[9, 164]","[10, 13, 24]",22.8,14.27,18.02,2
43,"[4, 8, 19, 164]","[17, 4, 3, 13, 25]",18.0,36.57,39.6,4
44,"[164, 92, 4]","[12, 24, 0, 20]",8.0,53.98,44.82,4
45,"[14, 18]","[20, 4, 2]",24.9,20.97,24.83,2
46,"[9, 18]","[11, 3, 4]",23.0,14.53,18.55,2
47,"[92, 18, 19]","[21, 0, 3, 10]",6.0,27.67,29.43,2
48,-,-,-,-,18.67,1
49,[4],"[17, 15]",4.0,11.28,13.27,1
